id,Name,lft,rht,description,AnchorText,URLid,eye,hand lens,scope
738,Leaf Margin Leaf Margin Crenulate,1472,1473,NULL,NULL,NULL,0,1,1
739,Leaf Margin Leaf Margin Cell Orientation,1475,1486,NULL,NULL,NULL,NULL,NULL,NULL
740,Leaf Margin Leaf Margin Cell Orientation Leaf Marginal Cell In Single Row,1476,1477,NULL,NULL,NULL,0,0,1
741,Leaf Margin Leaf Margin Cell Orientation Leaf Marginal Cell Linear,1478,1479,NULL,NULL,NULL,0,0,1
742,Leaf Margin Leaf Margin Cell Orientation Leaf Margins Of Elongated Cells,1480,1481,NULL,NULL,NULL,0,0,1
743,Leaf Margin Leaf Margin Cell Orientation Leaf With Intramarginal Band At Base,1482,1483,NULL,NULL,NULL,0,0,1
744,Leaf Margin Leaf Margin Cell Orientation Leaf With Intramarginal Border (Differentiated Cell Just Inside Short Marginal Cell),1484,1485,NULL,NULL,NULL,0,0,1
745,Leaf Margin Leaf Tip,1487,1496,NULL,NULL,NULL,NULL,NULL,NULL
746,Leaf Margin Leaf Tip Spex Serrate,1488,1489,NULL,NULL,NULL,0,1,1
747,Leaf Margin Leaf Tip With Awns,1490,1491,NULL,NULL,NULL,1,1,0
748,Leaf Margin Leaf Tip With Hair-Points,1492,1493,NULL,NULL,NULL,1,1,1
749,Leaf Margin Leaf Tip With Hyaline Apices,1494,1495,NULL,NULL,NULL,1,1,1
750,Leaf Margin Serrated/Toothed,1497,1538,NULL,NULL,NULL,NULL,NULL,NULL
751,Leaf Margin Serrated/Toothed Alternate Large And Small Teeth,1498,1499,NULL,NULL,NULL,0,1,1
752,Leaf Margin Serrated/Toothed Coarsely Serrulate In Upper Third,1500,1501,NULL,NULL,NULL,0,1,1
753,Leaf Margin Serrated/Toothed Doubly Serrate Above,1502,1503,NULL,NULL,NULL,0,1,1
754,Leaf Margin Serrated/Toothed Leaf Serrate,1504,1505,NULL,NULL,NULL,1,1,1
755,Leaf Margin Serrated/Toothed Serrate Above,1506,1507,NULL,NULL,NULL,0,1,1
756,Leaf Margin Serrated/Toothed Serrate At Base,1508,1509,NULL,NULL,NULL,0,1,1
757,Leaf Margin Serrated/Toothed Serrulate At Apex,1510,1511,NULL,NULL,NULL,0,1,1
758,Leaf Margin Serrated/Toothed Serrulate Throughout,1512,1513,NULL,NULL,NULL,0,1,1
759,Leaf Margin Serrated/Toothed Sharply Serrate Above,1514,1515,NULL,NULL,NULL,0,1,1
760,Leaf Margin Serrated/Toothed Singly Serrate Above,1516,1517,NULL,NULL,NULL,0,1,1
761,Leaf Margin Serrated/Toothed Spinose-Dentate,1518,1519,NULL,NULL,NULL,0,1,1
762,Leaf Margin Serrated/Toothed Spinulose Above,1520,1521,NULL,NULL,NULL,1,1,1
763,Leaf Margin Serrated/Toothed Teeth Long,1522,1523,NULL,NULL,NULL,0,1,1
764,Leaf Margin Serrated/Toothed Teeth Paired,1524,1525,NULL,NULL,NULL,0,1,1
765,Leaf Margin Serrated/Toothed Teeth Right-Angled,1526,1527,NULL,NULL,NULL,0,1,1
766,Leaf Margin Serrated/Toothed Teeth Single,1528,1529,NULL,NULL,NULL,0,1,1
767,Leaf Margin Serrated/Toothed Toothed,1530,1531,NULL,NULL,NULL,1,1,1
768,Leaf Margin Serrated/Toothed Toothed Above,1532,1533,NULL,NULL,NULL,0,1,1
769,Leaf Margin Serrated/Toothed Toothed At Apex,1534,1535,NULL,NULL,NULL,0,1,1
770,Leaf Margin Serrated/Toothed Toothed Or Serrate,1536,1537,NULL,NULL,NULL,1,1,1
771,Leaf Shape,1540,1737,NULL,NULL,NULL,NULL,NULL,NULL
772,Leaf Shape Apex,1541,1582,NULL,NULL,NULL,NULL,NULL,NULL
773,Leaf Shape Apex Abruptly Acuminate,1542,1543,NULL,NULL,NULL,0,1,1
774,Leaf Shape Apex Abruptly Narrowed To Short Acumen,1544,1545,NULL,NULL,NULL,0,1,1
775,Leaf Shape Apex Acumen Channeled,1546,1547,NULL,NULL,NULL,0,1,1
776,Leaf Shape Apex Acumen Color Pale,1548,1549,NULL,NULL,NULL,0,1,1
777,Leaf Shape Apex Apiculate,1550,1551,NULL,NULL,NULL,0,1,1
778,Leaf Shape Apex Awn Caducous,1552,1553,NULL,NULL,NULL,0,1,1
779,Leaf Shape Apex Bluntly Acute,1554,1555,NULL,NULL,NULL,0,1,1
780,Leaf Shape Apex Cell Color Hyaline,1556,1557,NULL,NULL,NULL,0,1,1
781,Leaf Shape Apex Hair-Pointed,1558,1559,NULL,NULL,NULL,0,1,1
782,Leaf Shape Apex Hhyaline,1560,1561,NULL,NULL,NULL,0,1,1
783,Leaf Shape Apex Sith Reflexed Tips,1562,1563,NULL,NULL,NULL,0,1,1
784,Leaf Shape Apex Spinulose,1564,1565,NULL,NULL,NULL,0,1,1
785,Leaf Shape Apex Subula Roughened Throughout By Cell Ends,1566,1567,NULL,NULL,NULL,0,1,1
786,Leaf Shape Apex With Awn,1568,1569,NULL,NULL,NULL,0,1,1
787,Leaf Shape Apex With Hair Point,1570,1571,NULL,NULL,NULL,0,1,1
788,Leaf Shape Apex With Long Awn,1572,1573,NULL,NULL,NULL,0,1,1
789,Leaf Shape Apex With Long Setaceous Point,1574,1575,NULL,NULL,NULL,0,1,1
790,Leaf Shape Apex With Reflexed Point,1576,1577,NULL,NULL,NULL,0,1,1
791,Leaf Shape Apex With Roughened Subula,1578,1579,NULL,NULL,NULL,0,1,1
792,Leaf Shape Apex With Short Awn,1580,1581,NULL,NULL,NULL,0,1,1
793,Leaf Shape Leaf Base,1583,1602,NULL,NULL,NULL,NULL,NULL,NULL
794,Leaf Shape Leaf Base Chordate,1584,1585,NULL,NULL,NULL,0,1,1
795,Leaf Shape Leaf Base Decurrent,1586,1587,NULL,NULL,NULL,1,0,0
796,Leaf Shape Leaf Base Erect,1588,1589,NULL,NULL,NULL,0,1,1
797,Leaf Shape Leaf Base Expanded,1590,1591,NULL,NULL,NULL,0,1,1
798,Leaf Shape Leaf Base Expanded,1592,1593,NULL,NULL,NULL,0,1,1
799,Leaf Shape Leaf Base Fragile,1594,1595,NULL,NULL,NULL,0,1,1
800,Leaf Shape Leaf Base Lobed,1596,1597,NULL,NULL,NULL,0,0,1
801,Leaf Shape Leaf Base Ovate,1598,1599,NULL,NULL,NULL,0,1,1
802,Leaf Shape Leaf Base Sheathing,1600,1601,NULL,NULL,NULL,0,1,1
803,Leaf Shape Outline,1603,1704,NULL,NULL,NULL,NULL,NULL,NULL
804,Leaf Shape Outline Abruptly Reflexed,1604,1605,NULL,NULL,NULL,1,1,0
805,Leaf Shape Outline Acuminate,1606,1607,NULL,NULL,NULL,1,1,0
806,Leaf Shape Outline Appressed When Dry,1608,1609,NULL,NULL,NULL,1,1,0
807,Leaf Shape Outline Broad,1610,1611,NULL,NULL,NULL,1,1,0
808,Leaf Shape Outline Broader At Base,1612,1613,NULL,NULL,NULL,1,1,0
809,Leaf Shape Outline Broader Near Middle,1614,1615,NULL,NULL,NULL,1,1,0
810,Leaf Shape Outline Broadly Elliptical,1616,1617,NULL,NULL,NULL,1,1,0
811,Leaf Shape Outline Broadly Lingulate,1618,1619,NULL,NULL,NULL,1,1,0
812,Leaf Shape Outline Broadly Oblong,1620,1621,NULL,NULL,NULL,1,1,0
813,Leaf Shape Outline Broadly Obtuse,1622,1623,NULL,NULL,NULL,1,1,0
814,Leaf Shape Outline Broadly Ovate,1624,1625,NULL,NULL,NULL,1,1,0
815,Leaf Shape Outline Bulbiform,1626,1627,NULL,NULL,NULL,1,1,0
816,Leaf Shape Outline Cleft,1628,1629,NULL,NULL,NULL,1,1,0
817,Leaf Shape Outline Concave,1630,1631,NULL,NULL,NULL,1,1,0
818,Leaf Shape Outline Concave-Cucullate,1632,1633,NULL,NULL,NULL,1,1,0
819,Leaf Shape Outline Confluent,1634,1635,NULL,NULL,NULL,1,1,0
820,Leaf Shape Outline Contorted When Dry,1636,1637,NULL,NULL,NULL,1,1,0
821,Leaf Shape Outline Cordate,1638,1639,NULL,NULL,NULL,1,1,0
822,Leaf Shape Outline Crenulate,1640,1641,NULL,NULL,NULL,1,1,0
823,Leaf Shape Outline Crispate,1642,1643,NULL,NULL,NULL,0,0,0
824,Leaf Shape Outline Crisped When Dry,1644,1645,NULL,NULL,NULL,1,1,0
825,Leaf Shape Outline Cucullate,1646,1647,NULL,NULL,NULL,1,1,0
826,Leaf Shape Outline Cuspidate,1648,1649,NULL,NULL,NULL,1,1,0
827,Leaf Shape Outline Decurrent,1650,1651,NULL,NULL,NULL,1,1,0
828,Leaf Shape Outline Falcate,1652,1653,NULL,NULL,NULL,1,1,0
829,Leaf Shape Outline Falcate Below,1654,1655,NULL,NULL,NULL,1,1,0
830,Leaf Shape Outline Falcate-Secund,1656,1657,NULL,NULL,NULL,1,1,0
831,Leaf Shape Outline Flexuose-Twisted (Dry),1658,1659,NULL,NULL,NULL,1,1,0
832,Leaf Shape Outline Homomallous,1660,1661,NULL,NULL,NULL,1,1,0
833,Leaf Shape Outline Imbricate (Dry),1662,1663,NULL,NULL,NULL,1,1,0
834,Leaf Shape Outline Keeled,1664,1665,NULL,NULL,NULL,0,0,0
835,Leaf Shape Outline Lanceolate,1666,1667,NULL,NULL,NULL,1,1,0
836,Leaf Shape Outline Leaf Shape Acute,1668,1669,NULL,NULL,NULL,1,1,0
837,Leaf Shape Outline Ligulate,1670,1671,NULL,NULL,NULL,1,1,0
838,Leaf Shape Outline Linear-Lanceolate,1672,1673,NULL,NULL,NULL,1,1,0
839,Leaf Shape Outline Lingulate,1674,1675,NULL,NULL,NULL,1,1,0
840,Leaf Shape Outline Long Acuminate,1676,1677,NULL,NULL,NULL,1,1,0
841,Leaf Shape Outline Long Apiculate,1678,1679,NULL,NULL,NULL,1,1,0
842,Leaf Shape Outline Narrowed To Acumen,1680,1681,NULL,NULL,NULL,1,1,0
843,Leaf Shape Outline Needle-Like,1682,1683,NULL,NULL,NULL,1,1,0
844,Leaf Shape Outline Oblong,1684,1685,NULL,NULL,NULL,1,1,0
845,Leaf Shape Outline Oblong-Lanceolate,1686,1687,NULL,NULL,NULL,1,1,0
846,Leaf Shape Outline Oblong-Lingulate,1688,1689,NULL,NULL,NULL,1,1,0
847,Leaf Shape Outline Obovate,1690,1691,NULL,NULL,NULL,1,1,0
848,Leaf Shape Outline Obtuse,1692,1693,NULL,NULL,NULL,1,1,0
849,Leaf Shape Outline Ovate,1694,1695,NULL,NULL,NULL,1,1,0
850,Leaf Shape Outline Planar,1696,1697,NULL,NULL,NULL,1,1,0
851,Leaf Shape Outline Plicate,1698,1699,NULL,NULL,NULL,1,1,0
852,Leaf Shape Outline Plicate Below,1700,1701,NULL,NULL,NULL,1,1,0
853,Leaf Shape Outline Thread-Like,1702,1703,NULL,NULL,NULL,1,1,0
